,eta_urban,eta_rural,sigmap,sigmakel,sigmakl,sigmaene,sigmafe,sigmag,sigmav,sigmaelec,sigmam,sigmae,sigmaff,sigmafes,sigmanr,eta,eta_lbd,betaelec,theta,sigmaccs
AgFFF,0.739,0.704,0,0.75,0.75,1.5,1.5,,,6,2,-2,2,0.5,0.3,0.5,0,-10,0.28,4
Coal,0.25,0.5,0,0.75,0.75,1.5,1.5,,,6,2,-2,2,0.5,0.3,2,0,-10,0.68,4
OilGas,1,1,0,0.75,0.75,1.5,1.5,,,6,2,-2,2,0.5,0.3,1,0,-10,0.51,4
MetMin,1,1,0,0.75,0.75,1.5,1.5,,,6,2,-2,2,0.5,0.3,2,0,-10,0.07,4
NMetMin,1,1,0,0.75,0.75,1.5,1.5,,,6,2,-2,2,0.5,0.3,2,0,-10,0.07,4
FoodPr,0.739,0.704,0,0.75,0.75,1.5,1.5,,,6,2,-2,2,0.5,0.3,0,0,-10,0,4
Textile,1.119,1.298,0,0.75,0.75,1.5,1.5,,,6,2,-2,2,0.5,0.3,0,0,-10,0,4
Apparel,1.119,1.298,0,0.75,0.75,1.5,1.5,,,6,2,-2,2,0.5,0.3,0,0,-10,0,4
WoodPr,1.119,1.298,0,0.75,0.75,1.5,1.5,,,6,2,-2,2,0.5,0.3,0,0,-10,0,4
PaperPr,1.119,1.298,0,0.75,0.75,1.5,1.5,,,6,2,-2,2,0.5,0.3,0,0,-10,0,4
RefPet,0.969,0.819,0,0.75,0.75,1.5,1.5,,,6,2,-2,2,0.5,0.3,0,0,-10,0,4
Chemical,1.119,1.298,0,0.75,0.75,1.5,1.5,,,6,2,-2,2,0.5,0.3,0,0,-10,0,4
NMetPr,1.119,1.298,0,0.75,0.75,1.5,1.5,,,6,2,-2,2,0.5,0.3,0,0,-10,0,4
Metals,1.119,1.298,0,0.75,0.75,1.5,1.5,,,6,2,-2,2,0.5,0.3,0,0,-10,0,4
MetalPr,1.119,1.298,0,0.75,0.75,1.5,1.5,,,6,2,-2,2,0.5,0.3,0,0,-10,0,4
GenEqp,1.119,1.298,0,0.75,0.75,1.5,1.5,,,6,2,-2,2,0.5,0.3,0,0,-10,0,4
SpecEqp,1.119,1.298,0,0.75,0.75,1.5,1.5,,,6,2,-2,2,0.5,0.3,0,0,-10,0,4
TransEqp,1.119,1.298,0,0.75,0.75,1.5,1.5,,,6,2,-2,2,0.5,0.3,0,0,-10,0,4
ElecEqp,1.119,1.298,0,0.75,0.75,1.5,1.5,,,6,2,-2,2,0.5,0.3,0,0,-10,0,4
ICTEqp,1.119,1.298,0,0.75,0.75,1.5,1.5,,,6,2,-2,2,0.5,0.3,0,0,-10,0,4
