,AgFFF,Coal,OilGas,MetMin,NMetMin,FoodPr,Textile,Apparel,WoodPr,PaperPr,RefPet,Chemical,NMetPr,Metals,MetalPr,GenEqp,SpecEqp,TransEqp,ElecEqp,ICTEqp,PrecInst,OthMfg,Waste,MachRep,Elec,GasDist,WatDist,Constr,WhRetTr,TranspSrv,HotRest,ICTServ,Finance,RealEst,BusServe,ResTech,EnvServ,ResServ,Education,Health,RecEnt,PubAdm,L,K,T,RuralHH,UrbanHH,G
AgFFF,146.8378924,0.201516439,0.002971777,0.025022095,0.018020377,453.0480769,70.28236742,5.751950113,26.46854539,18.05023606,0.009404443,51.35386306,0.207313792,0.034016227,0.084464645,0.026270253,0.042661058,0.036217152,0.049530666,0.002583772,0,2.193471405,0,0,0.064783421,0.000660537,0,18.96151508,0.011815856,0.101265333,37.33125843,0.365162323,0.091473548,0.218372581,5.153257833,2.918027559,7.749871067,1.879263321,0.400432177,0.362215557,0.332963347,0,0,0,0,86.82603757,151.3665357,12.37903286
Coal,0.616602204,34.30267151,0.088341401,0.788484304,1.113791518,2.85632547,1.529835415,0.456136141,0.295997413,3.415415286,21.76938387,23.11066854,32.75259388,24.14042028,0.446507503,0.301898704,0.264108793,0.077893302,0.17512858,0.000349412,0.017036652,0.076630031,0.028292467,0.031743558,78.30129526,1.464749802,0,0.664569391,0.034562295,0.089770092,0.057459863,0,0.026372019,0.048779643,4.84E-05,0.266972558,0.052163445,0.327643566,0.471261967,0.404256941,0.035196679,0.44258375,0,0,0,0.809172272,-12.63800907,0
OilGas,0,0.052737042,0.823151088,0.038308414,0.033307286,0,0,0,0,0.068328687,180.0966895,17.87947148,1.297614433,1.250457549,0.611374415,0.528984564,0.40583658,0.569300308,0.06856409,0,0,0,0,0,5.817953284,22.98551057,0,0,0,0.000453941,0,0,0,0,0,0.001891346,0,0,0,0.046099088,0.001543119,0.041004861,0,0,0,0,-116.3307742,0
MetMin,0,0,0,13.33615219,0,0,0,0,0,0,0.18587752,5.347208387,1.681585744,181.5779839,4.031554966,0,0,0,0,4.16E-07,0,0,0.009720796,0,0,0,0,0,0,0,0,0,0,0,0,0.175682075,0,0,0,0,0,0,0,0,0,0,-90.3115761,0
NMetMin,0.002079438,1.006438488,15.80919249,0.362476807,1.705637593,0.69123945,0.012184123,0.00620348,0.01220852,0.686165175,0.019948833,9.311229614,45.17440686,0.417526301,0.117869561,0.053838391,0.096980237,0.156214702,0.476109798,0.069523964,0.004408536,0.014384039,0.002351212,0.010400328,0.219602473,0,0,18.48388068,0.039354455,0.068650646,0.004747504,3.73E-05,0.001026086,0.000238216,0.00097718,0.013927782,0.006657175,0.00317597,0.001965458,0.000649183,0.003824311,0.015571748,0,0,0,0,-5.057444614,0
FoodPr,95.42979261,0.392889597,0.103054366,0.747843293,0.498284316,269.5056008,0.904124453,13.06688415,1.221691048,1.695412533,1.810120252,33.12554939,1.636688556,6.987503484,2.323626539,3.796586857,2.138036035,2.564726752,3.335702351,5.278121145,0.544740987,0.347176791,0.129363928,0.01445659,3.778752782,0.281931733,0.266722359,4.864930138,1.757762313,6.812045094,116.4435589,3.570749359,3.220437951,3.352740731,12.98014593,5.045008854,1.227783992,6.891038702,9.360173104,6.085832586,7.585054588,4.484082768,0,0,0,164.4029273,452.066623,0
Textile,0.04030543,0.096914647,0.021655426,0.048259349,0.241601848,0.646161871,142.0263619,132.8745022,3.395648125,10.33407105,0.049290751,6.289326337,0.244141079,0.168251559,0.847811513,0.321450984,0.68198387,1.002635307,0.701019644,0.404138837,0.178368569,2.814148328,0.084633936,0.03179238,0.005770324,0.001761907,0.005847373,0.077415408,0.353549159,1.263149756,1.725773992,0.081050823,0.013171135,0.002950004,0.815710216,1.120403172,0.340553781,1.113426245,0.781375019,5.812052888,0.169378976,2.081486539,0,0,0,3.07508022,56.99840447,0
Apparel,0.180572719,1.405554755,0.20585852,0.269539438,0.315751021,3.836036088,2.045669873,52.2734545,4.533922909,2.366193041,0.534399909,3.948012951,3.704423742,0.832194457,0.876076495,1.864463551,1.29489104,5.575356593,1.664235797,1.356146744,0.34630424,0.398842972,0.132704765,0.085561555,0.591456105,0.208419194,0.260531658,3.040895525,2.521725418,2.265524977,1.744121328,0.605237909,5.886519999,1.470665005,10.60913296,1.427872859,0.556030094,1.315071822,0.400342471,3.104907825,3.788825386,13.08269828,0,0,0,18.99700298,216.1329746,0
WoodPr,0.298037917,3.412288303,0.194086387,0.317623329,0.074849716,0.968961934,0.406351832,0.448272651,84.09034346,7.618194499,0.109008886,1.987244551,1.856339475,0.214549742,4.100683796,0.788718567,0.555383899,6.823185996,0.882805529,0.654780454,0.148567752,0.882906186,0.005105089,0.030321561,0.140773732,0.001987452,0.001658505,49.12477503,0.370739053,0.593095363,0.200420628,0.526201145,0.63010988,0.375924762,0.401653143,0.27737373,0.227692051,0.570823937,0.24259947,0.069979865,0.236290932,2.806438575,0,0,0,4.525834071,78.31184144,0
PaperPr,0.930494245,0.027921501,0.01225143,0.181061392,0.26287362,16.20693257,1.277787461,2.30918909,2.535314544,100.4779631,0.218056434,10.48096152,8.946104194,0.40950583,1.67993879,1.758313297,1.371206699,1.601515529,4.416788048,3.950654065,0.364714805,0.62905124,0.007241433,0.006591336,0.332601905,0.006011391,0.009963148,3.924595716,6.55050718,3.012501028,1.721334839,14.97893869,23.92354373,3.733005386,55.98508348,5.160480621,0.490431951,1.659097929,8.371489291,0.303743644,7.729312906,13.40142432,0,0,0,4.957475632,77.5115417,0
