Year,CarbonPrice,Emission,Emission_elec,Ctax(100RMB/tCO2),,,
2017,0.1,84.92403922,43.2,0,86.62252,1.02,84.92403922
2018,0.4,82.35267857,44,0.1,92.235,1.12,82.35267857
2019,0.7,80.15686393,44.8,0.2,97.791374,1.22,80.15686393
2020,1,78.24401515,45.6,0.3,103.2821,1.32,78.24401515
2021,1.3,74.05673239,46.4,0.4,105.16056,1.42,74.05673239
2022,1.6,72.94494737,47.2,0.5,110.87632,1.52,72.94494737
2023,1.9,72.18688272,48,0.6,116.94275,1.62,72.18688272
2024,2.2,71.60275,48.5,0.7,123.15673,1.72,71.60275
2025,2.5,71.05313187,49,0.8,129.3167,1.82,71.05313187
2026,2.8,70.42100521,49.5,0.9,135.20833,1.92,70.42100521
2027,3.1,69.65270792,49,1,140.69847,2.02,69.65270792
2028,3.4,68.76145283,48.5,1,145.77428,2.12,68.76145283
2029,3.7,67.79091441,48,1,150.49583,2.22,67.79091441
2030,4,66.793125,46.5,1,154.96005,2.32,66.793125
2031,4.3,65.79262397,45,1,159.21815,2.42,65.79262397
2032,4.6,64.81062302,43.5,1,163.32277,2.52,64.81062302
2033,4.9,63.86378626,42,1,167.32312,2.62,63.86378626
2034,5.2,62.94956618,40.5,1,171.22282,2.72,62.94956618
2035,5.5,62.0865461,39,1,175.08406,2.82,62.0865461
2036,5.8,61.27433219,37.5,1,178.92105,2.92,61.27433219
2037,6.1,60.51537086,36,1,182.75642,3.02,60.51537086
2038,6.4,59.76938462,34.5,1,186.48048,3.12,59.76938462
2039,6.7,58.99600932,33,1,189.96715,3.22,58.99600932
2040,7,58.16133735,30,1,193.09564,3.32,58.16133735
2041,7.3,57.23693567,27,1,195.75032,3.42,57.23693567
2042,7.6,56.20778693,24,1,197.85141,3.52,56.20778693
2043,7.9,55.11525967,21,1,199.51724,3.62,55.11525967
2044,8.2,53.99583065,18,1,200.86449,3.72,53.99583065
2045,8.5,52.89020157,15,1,202.04057,3.82,52.89020157
2046,8.8,51.83493878,12,1,203.19296,3.92,51.83493878
2047,9.1,50.8475796,9,1,204.40727,4.02,50.8475796
2048,9.4,49.90683738,6,1,205.61617,4.12,49.90683738
2049,9.7,49.00287441,3,1,206.79213,4.22,49.00287441
2050,10,48.10859491,0,1,207.82913,4.32,48.10859491
2051,10.3,47.2059276,-3,1,208.6502,4.42,47.2059276
2052,10.6,46.27794912,-6,1,209.17633,4.52,46.27794912
2053,10.9,45.33651082,-9,1,209.45468,4.62,45.33651082
2054,11.2,44.41002966,-12,1,209.61534,4.72,44.41002966
2055,11.5,43.50494813,-12,1,209.69385,4.82,43.50494813
2056,11.8,42.63541463,-12,1,209.76624,4.92,42.63541463
2057,12.1,41.83141633,-12,1,209.99371,5.02,41.83141633
2058,12.4,41.07031445,-12,1,210.28001,5.12,41.07031445
2059,12.7,40.33687739,-12,1,210.5585,5.22,40.33687739
2060,13,39.62342669,-12,1,210.79663,5.32,39.62342669
