scenario,year,variable,commodity,sector,subsector,unit,value
BAU,2017,output,,AgFFF,,10 billion CNY,1101.2404
BAU,2017,production cost,,AgFFF,,1,1.0
BAU,2017,capital demand,,AgFFF,,10 billion CNY,35.92047
BAU,2017,labor demand,,AgFFF,,10 billion CNY,652.7092
BAU,2017,CO2,,AgFFF,,0.1 billion tons,1.0254995
BAU,2017,energy demand,Coal,AgFFF,,10 billion CNY,0.6166022
BAU,2017,energy demand,RefPet,AgFFF,,10 billion CNY,5.5169673
BAU,2017,energy demand,ElecDist,AgFFF,,10 billion CNY,9.850809
BAU,2017,energy demand,GasDist,AgFFF,,10 billion CNY,0.15624073
BAU,2017,domestic demand,,AgFFF,,10 billion CNY,1089.3046
BAU,2017,commodity price,,AgFFF,,1,1.0
BAU,2017,investment,,AgFFF,,10 billion CNY,24.008204
BAU,2017,government consumption,AgFFF,,,10 billion CNY,12.379033
BAU,2017,household consumption,AgFFF,RuralHH,,10 billion CNY,86.82604
BAU,2017,household consumption,AgFFF,UrbanHH,,10 billion CNY,175.58083
BAU,2017,output,,Coal,,10 billion CNY,219.5151
BAU,2017,production cost,,Coal,,1,1.0
BAU,2017,capital demand,,Coal,,10 billion CNY,34.830193
BAU,2017,labor demand,,Coal,,10 billion CNY,47.4912
BAU,2017,CO2,,Coal,,0.1 billion tons,0.68670535
BAU,2017,energy demand,Coal,Coal,,10 billion CNY,34.302673
BAU,2017,energy demand,RefPet,Coal,,10 billion CNY,0.8035313
BAU,2017,energy demand,ElecDist,Coal,,10 billion CNY,8.011033
BAU,2017,energy demand,GasDist,Coal,,10 billion CNY,0.028583292
BAU,2017,domestic demand,,Coal,,10 billion CNY,218.85963
BAU,2017,commodity price,,Coal,,1,1.0
BAU,2017,investment,,Coal,,10 billion CNY,1.5698297
BAU,2017,government consumption,Coal,,,10 billion CNY,0.0
BAU,2017,household consumption,Coal,RuralHH,,10 billion CNY,0.8091723
BAU,2017,household consumption,Coal,UrbanHH,,10 billion CNY,0.5418484
BAU,2017,output,,OilGas,,10 billion CNY,116.2878
BAU,2017,production cost,,OilGas,,1,1.0
BAU,2017,capital demand,,OilGas,,10 billion CNY,31.113955
BAU,2017,labor demand,,OilGas,,10 billion CNY,14.175349
BAU,2017,CO2,,OilGas,,0.1 billion tons,0.39410025
BAU,2017,energy demand,Coal,OilGas,,10 billion CNY,0.0883414
BAU,2017,energy demand,RefPet,OilGas,,10 billion CNY,0.6006298
BAU,2017,energy demand,ElecDist,OilGas,,10 billion CNY,2.8088756
BAU,2017,energy demand,GasDist,OilGas,,10 billion CNY,0.02857268
BAU,2017,domestic demand,,OilGas,,10 billion CNY,114.40895
BAU,2017,commodity price,,OilGas,,1,1.0
BAU,2017,investment,,OilGas,,10 billion CNY,1.3451446
BAU,2017,government consumption,OilGas,,,10 billion CNY,0.0
BAU,2017,household consumption,OilGas,RuralHH,,10 billion CNY,0.0
BAU,2017,household consumption,OilGas,UrbanHH,,10 billion CNY,0.0
BAU,2017,output,,MetMin,,10 billion CNY,116.03419
BAU,2017,production cost,,MetMin,,1,1.0
BAU,2017,capital demand,,MetMin,,10 billion CNY,16.197186
BAU,2017,labor demand,,MetMin,,10 billion CNY,16.538387
BAU,2017,CO2,,MetMin,,0.1 billion tons,0.12379936
BAU,2017,energy demand,Coal,MetMin,,10 billion CNY,0.7884843
BAU,2017,energy demand,RefPet,MetMin,,10 billion CNY,6.3557024
BAU,2017,energy demand,ElecDist,MetMin,,10 billion CNY,9.453629
BAU,2017,energy demand,GasDist,MetMin,,10 billion CNY,0.005522856
BAU,2017,domestic demand,,MetMin,,10 billion CNY,115.28182
BAU,2017,commodity price,,MetMin,,1,1.0
BAU,2017,investment,,MetMin,,10 billion CNY,0.4170073
BAU,2017,government consumption,MetMin,,,10 billion CNY,0.0
BAU,2017,household consumption,MetMin,RuralHH,,10 billion CNY,0.0
BAU,2017,household consumption,MetMin,UrbanHH,,10 billion CNY,0.0
BAU,2017,output,,NMetMin,,10 billion CNY,90.025856
BAU,2017,production cost,,NMetMin,,1,1.0
BAU,2017,capital demand,,NMetMin,,10 billion CNY,11.353006
BAU,2017,labor demand,,NMetMin,,10 billion CNY,21.292828
BAU,2017,CO2,,NMetMin,,0.1 billion tons,0.12099916
BAU,2017,energy demand,Coal,NMetMin,,10 billion CNY,1.1137915
BAU,2017,energy demand,RefPet,NMetMin,,10 billion CNY,5.208048
BAU,2017,energy demand,ElecDist,NMetMin,,10 billion CNY,5.458713
BAU,2017,energy demand,GasDist,NMetMin,,10 billion CNY,0.08465132
BAU,2017,domestic demand,,NMetMin,,10 billion CNY,88.43913
BAU,2017,commodity price,,NMetMin,,1,1.0
BAU,2017,investment,,NMetMin,,10 billion CNY,-0.175256
BAU,2017,government consumption,NMetMin,,,10 billion CNY,0.0
BAU,2017,household consumption,NMetMin,RuralHH,,10 billion CNY,0.0
BAU,2017,household consumption,NMetMin,UrbanHH,,10 billion CNY,0.0
BAU,2017,output,,FoodPr,,10 billion CNY,1262.0763
BAU,2017,production cost,,FoodPr,,1,1.0
BAU,2017,capital demand,,FoodPr,,10 billion CNY,111.86524
BAU,2017,labor demand,,FoodPr,,10 billion CNY,103.76798
BAU,2017,CO2,,FoodPr,,0.1 billion tons,0.7088995
BAU,2017,energy demand,Coal,FoodPr,,10 billion CNY,2.8563254
BAU,2017,energy demand,RefPet,FoodPr,,10 billion CNY,1.5076483
BAU,2017,energy demand,ElecDist,FoodPr,,10 billion CNY,9.850345
BAU,2017,energy demand,GasDist,FoodPr,,10 billion CNY,0.5412094
BAU,2017,domestic demand,,FoodPr,,10 billion CNY,1226.217
BAU,2017,commodity price,,FoodPr,,1,1.0
BAU,2017,investment,,FoodPr,,10 billion CNY,15.002842
BAU,2017,government consumption,FoodPr,,,10 billion CNY,0.0
BAU,2017,household consumption,FoodPr,RuralHH,,10 billion CNY,164.40294
BAU,2017,household consumption,FoodPr,UrbanHH,,10 billion CNY,459.77203
BAU,2017,output,,Textile,,10 billion CNY,379.38278
BAU,2017,production cost,,Textile,,1,1.0
BAU,2017,capital demand,,Textile,,10 billion CNY,25.357296
BAU,2017,labor demand,,Textile,,10 billion CNY,36.975616
BAU,2017,CO2,,Textile,,0.1 billion tons,0.18469995
BAU,2017,energy demand,Coal,Textile,,10 billion CNY,1.5298355
BAU,2017,energy demand,RefPet,Textile,,10 billion CNY,0.6046538
BAU,2017,energy demand,ElecDist,Textile,,10 billion CNY,6.5565176
BAU,2017,energy demand,GasDist,Textile,,10 billion CNY,0.09226807
BAU,2017,domestic demand,,Textile,,10 billion CNY,317.90726
BAU,2017,commodity price,,Textile,,1,1.0
BAU,2017,investment,,Textile,,10 billion CNY,-1.6336868
BAU,2017,government consumption,Textile,,,10 billion CNY,0.0
BAU,2017,household consumption,Textile,RuralHH,,10 billion CNY,3.0750804
BAU,2017,household consumption,Textile,UrbanHH,,10 billion CNY,8.462552
BAU,2017,output,,Apparel,,10 billion CNY,378.05612
